msa,state,size_rank,hvi_2010,hvi_2011,hvi_2012,hvi_2013,hvi_2014,hvi_2015,hvi_2016,hvi_2017,hvi_2018,hvi_2019,hvi_2021,hvi_2022,hvi_2023,hvi_2024,area_name
"Amsterdam, NY",NY,607,109335.62356415905,108289.77393015451,108811.50732507353,106304.21785643294,104315.03495327155,105366.73587980731,107927.822124063,113755.7881045991,120123.82779324205,125902.1551584229,159400.9732345783,177496.50594074128,184330.00360238514,198763.42677530227,Amsterdam
"Anchorage, AK",AK,139,258019.4357621843,253350.55343349988,260498.55012743172,271425.9975775909,278199.9426798718,290329.1477974748,297580.11454671674,297593.68179055233,299664.9712371394,320313.508389432,342187.94403783436,365225.77178612375,375943.2433662026,384371.10030157067,Anchorage
"Andrews, TX",TX,920,120138.50892125769,121013.18739841855,126626.23258058971,138192.8370077259,145168.6263891522,156118.360986167,169197.81549498453,173339.37987689258,178227.5410576003,195960.4138555714,229847.50165087145,236672.08043603748,222710.22358201895,230141.01298213273,Andrews
"Angola, IN",IN,774,139499.94322344943,136827.61260884945,138778.01878654168,143907.5866941148,148104.13284963396,153315.3945010699,159352.8390273439,169255.58040024436,179001.7728390741,187765.12732132952,237351.8796487098,269001.33863133006,276521.58576287626,286788.87027438317,Angola
"Ann Arbor, MI",MI,148,181008.95732572782,177619.67445384854,182626.7274365663,203792.9928578875,224796.67364620123,238919.95797677172,254118.32662861864,269659.50339459657,288341.67758937617,304108.96411208,339985.7050502085,367080.30428050266,378692.0528513852,393765.984087472,Ann Arbor
"Anniston, AL",AL,357,107541.14872878784,104308.82970805223,106641.45820073337,112750.3234568545,143030.84961719942,113275.65508496626,109966.38689598144,110104.67615932558,115063.94708181417,123195.95612900135,145145.1426867552,155059.54165005032,156446.74576389618,158442.28578364823,Anniston
"Appleton, WI",WI,197,162030.98619088045,154270.42509508986,148086.40875965287,150938.01158893845,154309.92041758506,158611.28820103192,165653.8129054898,177254.99562179836,188386.82829358024,200341.03591488194,238791.41303889806,265060.71559839236,287809.0543931547,305824.068942397,Appleton
"Arcadia, FL",FL,782,91811.65493975306,84840.4009106552,82331.13556866428,85150.07247074111,91324.59079199091,101132.06853848533,115942.53089095205,131566.51492180975,143373.43837847942,154785.21788912278,195804.86597351157,253618.4833345553,260509.14390649204,263415.65640122164,Arcadia
"Ardmore, OK",OK,546,83902.19504000669,82640.96573521313,85074.78902897464,87774.51917385875,91021.38146129945,96879.50836398201,99160.69239806068,102735.7355026104,106947.97954160288,111105.4948830892,137355.26899233257,161363.38875140963,170298.0147320608,175655.4601882271,Ardmore
"Arkadelphia, AR",AR,896,98682.47957726568,98057.75279915989,98336.48407430407,97378.19566078404,95548.67393411785,97919.48507240995,102867.9456435173,104623.17779814718,107607.85541629732,110938.13394113157,130318.87935747557,141942.12247645683,149750.58439528753,153193.09215886195,Arkadelphia
"Asheville, NC",NC,121,191155.25836299325,183531.53104748903,179061.5829180379,184050.43589265714,194335.10183384983,208040.30268419787,225141.89916887562,244181.4586702678,262227.18858127313,272036.52405508724,338567.49081018136,393637.4421855264,409821.8896699686,429337.58956084884,Asheville
"Ashland, OH",OH,586,106260.08416093956,102359.62764650089,102048.30187122869,104173.28531905358,104616.29494908941,110951.07134483352,118216.31843957107,123983.07994705865,131326.3009445955,137860.36061854978,172989.5299757894,191388.99824170934,200602.1582524792,215374.88451172007,Ashland
"Ashtabula, OH",OH,404,85923.42531159804,83875.1674759313,84810.79457756272,87976.40338582253,88380.14789476256,86843.6921285246,89420.06896736776,91857.00927180545,96653.05857778281,102363.30723502231,130777.11071946404,146452.70191313533,151228.43239779116,160614.428844816,Ashtabula
"Astoria, OR",OR,691,242719.7457033944,228469.88729467374,225922.69515206353,228383.40964792075,235465.7058628071,248442.19245563596,273055.19017566956,295680.08651361003,316747.9449868732,336452.3719856124,432865.68765017675,510476.1902528094,519186.5610050356,520927.6393875343,Astoria
"Atchison, KS",KS,929,,,97247.22908105933,87219.80250593621,77255.86525156244,80349.01051506877,86615.34423862626,89614.49047847038,93500.19807834084,99954.50282371475,130946.6124573837,152659.84785024993,152751.1514971079,163073.66876694906,Atchison
"Athens, GA",GA,217,163460.77084985797,153634.4830588471,141276.0705904149,146546.0776559646,153887.78040528638,158987.9548307919,166995.6273098962,177241.86946667932,192765.1444760322,210941.5333546873,272985.21187815664,317676.46527557424,332357.9522721759,352470.63505320577,Athens
"Athens, OH",OH,521,100471.13003269762,98740.6432845661,98688.32935207324,99283.11052449468,104207.65183427696,109337.01859140745,111723.79151894926,114590.70094354141,120611.48633502585,128363.60745670441,150311.93961909835,162295.17742831525,164318.72391470813,168988.2091094598,Athens
"Athens, TN",TN,584,,102784.7780440533,104932.75391782999,107227.85744802655,111832.93987708491,118570.21739027182,125419.39856781617,130302.41219349795,137312.57576992706,154356.21759830558,189524.63079412855,218727.21861646997,227924.3639801717,241139.0848566629,Athens
"Athens, TX",TX,446,137686.45503380315,135671.1536128086,137774.774459546,138066.6370185223,143431.48805199345,148330.07659889405,154590.24123012592,165154.856795341,177790.72631800736,183463.56569595364,239499.06341458962,276748.9254587794,273406.3807173725,272490.8241460127,Athens
"Atlanta, GA",GA,9,151790.02654518592,134034.8491252107,129825.00852626404,144501.4398481874,165470.3511850527,178600.2807701441,193143.6154893913,208411.56253952373,227164.9668582408,242650.70908357797,304795.18921860785,369865.7056860416,378222.72023037425,389372.03588260035,Atlanta
"Atlantic City, NJ",NJ,180,203652.0114308419,190982.25365338277,186143.05977645723,188995.1395449727,192862.8820177995,190587.3971187455,182694.99877877743,178088.11090467576,187003.11703767793,202067.3840008064,259789.12388417442,298830.46789362055,323407.5086634035,352508.98692771356,Atlantic City
"Auburn, AL",AL,253,175267.87911123259,166450.71071455852,168957.0401318145,174069.79417435543,178400.8125784043,182074.93646604966,190622.53937888774,201973.46816294783,212970.80625145827,225876.82737425462,264796.3936576594,293032.28678742144,308701.09293200687,321532.1145657376,Auburn
"Auburn, IN",IN,672,109316.63825276755,107037.39068944032,108094.82705978089,109953.07337545072,112866.83404368655,119225.07738927616,125835.87562162476,131695.4231412637,140943.43189503613,149142.77101111086,180085.32988278146,200556.47908115212,210050.73800622785,224207.69431927023,Auburn
"Auburn, NY",NY,464,117123.08597425451,115062.39975417666,116538.57381862409,120294.6038725956,123008.65798918922,125543.28888428088,127431.74697788297,131378.58290355228,136841.15034740735,140416.7171417112,172190.12484480356,187597.4524185199,197937.60205403922,215942.39534615088,Auburn
"Augusta, GA",GA,96,131437.2002793833,125929.06893306738,122244.27564049927,123525.95721233345,125205.83419004695,128900.6051543362,134024.02420284148,137155.6778557051,145820.56980789418,156633.8243269603,192779.9001583859,220752.20494942716,230753.34367038778,237488.4349142341,Augusta
"Augusta, ME",ME,339,137952.81707748564,135506.77884773412,136101.02385256594,135526.11906024284,136972.69546854886,139915.68325232473,144267.86276910544,150635.76120273268,159075.06495901084,168001.93119514457,229100.55487901173,264010.6613753587,285417.13827683794,306317.4881937487,Augusta
"Austin, MN",MN,698,88153.79190391646,84243.54716635472,86435.85229557435,91315.012618881,93096.38207582943,94251.68874292517,100167.10106107408,105970.11698923573,115239.2281123665,124658.411897156,154465.64701252538,173220.34437222284,176418.17676330687,186845.9144006538,Austin
"Austin, TX",TX,29,197279.06752414393,190888.14899381658,194587.81206698614,211894.81979939633,235551.39974838702,260089.99403657927,279797.482467836,293836.2057424096,303960.1747713143,312852.52352488675,439454.3936006405,530499.2004038203,480166.188138433,457488.4154627346,Austin
"Bainbridge, GA",GA,823,106868.00480665197,98941.25701989264,98366.76442449763,98984.11872463317,102362.69711011928,103366.94164555108,103411.43327299024,100537.74762267036,103232.53924540011,111407.49863534578,138878.55998107605,160506.48524684508,170746.15174293082,177786.6164603254,Bainbridge
"Bakersfield, CA",CA,63,133387.5687346546,123250.5205960736,126013.71815475269,148423.90041054552,170409.7395529202,182472.2725343459,193303.97112701554,202492.45376408333,215853.1270798654,227590.7357729189,282345.0326664366,327444.4117784496,333451.4623900091,352403.53278338414,Bakersfield
"Baltimore, MD",MD,20,256344.92183943224,239852.62184342556,236131.26911729798,247129.27223786453,257601.0773240805,261144.7783822442,266883.9969124996,274823.77494124015,283704.45780010713,291816.3261317376,336590.87397322064,361420.2350296344,371967.3404169406,384833.06015067454,Baltimore
"Bangor, ME",ME,288,133484.27489071063,130886.01847157087,131455.27566105197,132755.01910291033,134207.3183335182,134929.04652365032,136516.64806361918,140757.59603394617,149347.33539515376,154650.63604433835,199056.46458885414,229019.1360834583,244208.87259901557,258075.40466744278,Bangor
"Baraboo, WI",WI,505,163691.03920136794,158797.60350435766,158959.07189703514,164129.7088448749,170185.94382736777,176687.8988353405,188759.73131823473,197948.44924927686,210144.3092491947,222164.03058721,265888.4242212411,292319.3749250321,307924.25513835636,317924.94581312535,Baraboo
"Bardstown, KY",KY,633,119017.06133646239,114587.33075516309,114567.65912077205,114371.39054239159,117636.66564658645,121525.23758018039,126598.2813826877,135850.04083096076,146045.55464846874,155671.59626597594,195017.47745358883,220282.15672991102,230195.40665352778,241661.6921889436,Bardstown
"Barnstable Town, MA",MA,202,368090.766499942,355882.8312232042,340627.6148932883,351878.4451623638,364005.39284113626,373473.76490218745,387215.4015900401,407020.9461360923,429801.9326961813,440991.968154114,559465.3654594483,658480.6890184517,692064.7390049581,734521.8245011551,Barnstable Town
"Barre, VT",VT,540,212042.62827043966,211710.85907123753,214130.3894224155,219021.52035282555,223887.0293450763,229935.44733278314,234072.43858131926,243105.03970350802,251929.9475969048,258554.47322677218,314175.84123573056,355983.807061864,377538.58634807146,388684.9633578376,Barre
"Bartlesville, OK",OK,590,95259.71953871632,93766.90646402765,95728.13766836589,98883.55031295278,100916.26708590939,104800.06275428257,107450.56102284287,107391.11809234867,111212.48127778654,115773.24550588026,137498.0881896608,155941.45558257267,162397.09426764303,167963.86305147887,Bartlesville
"Batavia, NY",NY,545,110320.02394730745,107384.83736503414,106585.25016623236,108035.55444945562,110284.69053251103,112763.99827848305,116747.62212174694,121994.2746859221,127456.06844052886,133010.9971467789,167413.1778498148,184911.13757328622,191073.47085504155,203346.3514061917,Batavia
"Batesville, AR",AR,571,105005.26593941485,102440.46020577586,104506.75624899009,106623.05342353646,107482.39601012837,111376.07082063892,115316.22242959985,117582.20133138473,121996.30241593016,125804.56777697119,145003.88831738755,159265.02013531022,157046.27663481547,156751.61402921317,Batesville
"Baton Rouge, LA",LA,66,182272.25530367496,173150.66911493978,168189.4567029816,168950.78915593404,171771.33280304653,179475.1300125048,184784.41937123437,183867.56077449047,192011.8662232523,195574.18318576095,213298.43388175478,230400.07309732956,236754.03074573286,241055.1153587021,Baton Rouge
"Battle Creek, MI",MI,318,75642.4767915622,73453.10007988483,74522.93210600846,74528.40121238875,78952.05202213135,84798.70387770535,90692.19712402126,97733.06636892719,101232.83653506788,113136.85443147992,144449.51603548325,159636.08320188455,163135.25057387416,173783.1650022114,Battle Creek
"Bay City, MI",MI,380,82299.927250583,80426.68800318557,81327.2987008432,85912.27945103134,89142.06993948082,89966.14163588342,93108.30184847768,94697.92661020804,99072.83615590904,106670.78622540434,130938.72476109733,142574.09836181565,150856.11938854333,163575.57061007826,Bay City
"Bay City, TX",TX,751,121590.829436281,119704.6438934857,121785.70117322051,124514.0698993157,129775.52283105727,135616.54640974474,145392.82764144673,150460.8842296763,159413.05512841686,158805.57801144003,179126.31973605033,196075.58242663613,191536.6049271841,193404.65692689293,Bay City
"Beatrice, NE",NE,891,87308.49265732116,86414.71805464999,89102.6386889367,92100.02036910778,94827.88778579076,98214.25043151743,102175.34836755518,109782.19821270455,119637.69118946408,123372.71565218642,145225.02561871582,164349.8060429022,170884.6728897274,179689.53940737832,Beatrice
"Beaumont, TX",TX,140,120526.95373374851,118852.26462456766,118030.43321993128,117373.56308251298,123017.41716265965,126323.63899838075,128412.05752816984,133172.7045012481,142168.78312634796,155287.37285265437,174025.2277753079,181826.97010372032,176348.0106596217,173291.60083949947,Beaumont
"Beaver Dam, WI",WI,420,141048.5852846149,136400.62211395477,136331.48583903955,141128.91049426983,147140.04976299396,151467.59289605197,157951.24086685828,164781.97803912323,174889.93781933107,187527.66560618984,227099.65147082412,245900.97175506598,262506.88435752597,278940.00984267605,Beaver Dam
"Beckley, WV",WV,358,76107.55193866343,74875.15333876693,76937.9432681037,78943.3555947307,77417.63336682784,84951.64779406521,88929.11127248958,86481.58250363181,87722.65880882721,89754.5761250333,107886.39392124665,121537.68289323075,130412.60648828612,143492.4747654139,Beckley
"Bedford, IN",IN,654,89417.7750290249,87665.46187856833,89137.97264467156,91785.10136428876,95084.49556975323,98725.97150885004,99382.90934551063,103119.005545851,113731.66254399445,124668.66656610765,162643.0874022636,181965.3982275239,185313.79206820333,195911.59593371616,Bedford
"Beeville, TX",TX,808,,,115209.37226264,117541.18597964056,132264.6743392708,141161.64909435206,140605.26762693466,142938.27237985816,152039.3110395229,165913.1177885835,187717.61941883396,195840.44709598037,177639.64501207354,168013.64121964952,Beeville
"Bellefontaine, OH",OH,638,107750.20712677554,105202.50144237427,105504.56244365651,111056.49081008486,119954.63319219601,127025.02424674747,132208.26551609655,137135.91010180095,144104.70644228157,153421.37469443187,193218.9179633332,206007.6955573461,213319.23652513346,230994.6645279571,Bellefontaine
"Bellingham, WA",WA,205,266423.80663972493,254817.1092977157,244178.13498759374,252703.7877389183,263154.7689858228,277480.37954391167,302781.14924903243,334604.150190622,370770.34105251095,397219.363937054,515255.90345698636,586810.6260658085,577075.3000226395,594372.5198895928,Bellingham
"Bemidji, MN",MN,637,153401.9829521091,133974.25591971327,135688.93795213941,142585.87416295972,144564.72004075412,145679.8981158804,150616.1597735318,153608.00751920298,158397.25831655183,166816.34683917157,200092.77805308052,224355.5607815023,234075.06442550302,245351.05957054513,Bemidji
"Bend, OR",OR,232,221739.84268323914,204270.49118811797,207942.89472734425,242825.19845356606,280254.2351144534,314320.7688663663,348793.0057274951,378167.6977035733,407237.3351927323,425735.5209829559,590526.2502302746,685823.9440446886,658730.0136068022,679053.9149392346,Bend
"Bennettsville, SC",SC,846,,,,,87932.52121046656,92659.544632291,97018.45607607508,95838.37109179824,111208.42532678066,106979.76971896821,120386.75578103197,136963.10216931097,125637.45076253149,113121.91238765449,Bennettsville
"Bennington, VT",VT,736,215766.16545816997,213493.9881053064,215909.56490107774,224469.4045977913,225638.01834767908,228730.1819721316,224818.94905262734,232487.10932455803,241774.78075037312,245801.48968261387,302794.47885520954,352762.20460845466,373266.9882399358,378686.4536339126,Bennington
